"http://arstechnica.com/uncategorized/2008/06/cubit-p2p-search-protocol-could-one-day-sink-the-pirate-bay/";"Ars Technica";06/17/08;"Cubit P2P search protocol could one day sink The Pirate Bay";"sirer,wong";
"http://www.sfgate.com/technology/businessinsider/article/The-17-Year-Old-Whom-Yahoo-Paid-30-Million-Was-4388011.php";"SF Gate";03/27/13;"The 17-Year-Old Whom Yahoo Paid $30 Million Was Licensing His Startup's Core Technology";"sirer";
"http://bits.blogs.nytimes.com/2013/04/07/how-deal-makers-put-a-value-on-start-ups-disruptions/";"New York Times";04/07/13;"How Deal Makers Put a Value on Start-Ups";"sirer,eyal";"feature"
"http://tech.slashdot.org/story/13/06/20/1747249/cornell-researchers-unveil-a-virtual-notary";"Slashdot";06/20/13;"Cornell Researchers Unveil a Virtual Notary";"sirer,eyal";
"http://money.cnn.com/2013/11/04/technology/bitcoin-flaw/";"CNN";11/04/13;"Bitcoin flaw could let group take control of currency";"sirer,eyal";"feature"
"http://www.businessinsider.com/researchers-say-bitcoin-is-broken-and-could-collapse-2013-11";"Business Insider";11/04/13;"Researchers Say 'Bitcoin Is Broken' And Could Collapse";"sirer,eyal";
"https://bitcoinmagazine.com/articles/selfish-mining-a-25-attack-against-the-bitcoin-network-1383578440";"Bitcoin Magazine";11/04/13;"Selfish Mining: A 25% Attack Against the Bitcoin Network";"sirer,eyal";
"http://www.bbc.com/news/technology-24818975";"BBC";11/05/13;"Bitcoin at risk of network attack, say researchers";"sirer,eyal";"feature"
"https://www.washingtonpost.com/news/the-switch/wp/2013/11/07/no-bitcoin-isnt-broken/";"Washington Post";11/07/13;"No, Bitcoin Isn't Broken";"sirer,eyal";"feature"
"https://motherboard.vice.com/blog/bitcoin-isnt-broken-despite-a-potential-flaw";"Vice";11/07/13;"Bitcoin Isn’t Broken, Despite a Potential Flaw";"sirer,eyal";"feature"
"https://www.technologyreview.com/s/521521/bitcoin-vulnerability-could-allow-malicious-miners-to-seize-control/";"MIT Technology Review";11/08/13;"Bitcoin Vulnerability Could Allow Malicious Miners to Seize Control";"sirer,eyal";"feature"
"http://www.pcadvisor.co.uk/feature/internet/why-bitcoin-is-more-valuable-popular-than-ever-3494859/";"PC Advisor";12/23/13;"The rise of Bitcoin and why you can't mine your own Bitcoins";"sirer,eyal";
"http://www.motherjones.com/kevin-drum/2014/02/wait-second-i-thought-bitcoins-were-unstealable";"Mother Jones";02/28/14;"Wait a Second. I Thought Bitcoins Were Unstealable?";"sirer,eyal";"feature"
"http://www.coindesk.com/blockchain-addresses-security-debacle-need-better/";"CoinDesk";03/03/14;"Are Bitcoin exchanges just Nigerian scam emails for gullible nerds?";"sirer,eyal";
"http://www.spiegel.de/netzwelt/web/bitcoin-cash-waehrung-in-der-krise-a-956580.html";"Spiegel";03/03/14;"Krypto-Währung in der Krise: Hacker suchen die Bitcoin-Wahrheit";"sirer,eyal";
"http://nymag.com/daily/intelligencer/2014/03/doomsday-cult-of-bitcoin.html";"NY Magazine";03/04/14;"The Doomsday Cult of Bitcoin";"sirer,eyal";"feature"
"http://www.reuters.com/article/us-bitcoin-mtgox-cybersleuths-idUSBREA2429L20140305";"Reuters";03/05/14;"Online sleuthing by Mt. Gox dispossessed throws up few clues";"sirer,eyal";"feature"
"http://mobile.nytimes.com/2014/03/06/technology/personaltech/for-bitcoin-a-secure-future-might-require-traditional-trappings.html";"New York Times";03/06/14;"For Bitcoin, Secure Future Might Need Oversight";"sirer,eyal";"feature"
"http://uk.reuters.com/article/2014/03/06/uk-bitcoin-mtgox-cybersleuths-idUKBREA2429M20140306";"Reuters";03/06/14;"Online sleuthing by Mt. Gox dispossessed throws up few clues";"sirer,eyal";"feature"
"http://www.latimes.com/business/hiltzik/la-fi-mh-the-satoshi-chase-20140307-story.html";"Los Angeles Times";03/07/14;"The Nakamoto chase is a sideshow: Here's the real story on bitcoins";"sirer,eyal";"feature"
"http://blogs.wsj.com/moneybeat/2014/03/11/bitbeat-bitcoin-is-risky-in-case-you-didnt-know/";"Wall Street Journal";03/11/14;"BitBeat: Bitcoin Is Risky (In Case You Didn’t Know)";"sirer,eyal";"feature"
"https://www.technologyreview.com/s/525676/academics-spy-weaknesses-in-bitcoins-foundations/";"MIT Technology Review";03/24/14;"Academics Spy Weaknesses in Bitcoin’s Foundations";"sirer,eyal";"feature"
"https://www.infoq.com/news/2014/04/bitcoin-banking-mongodb";"InfoQ";04/24/14;"BitCoins Lost, MongoDB and Eventual Consistency";"sirer,eyal";
"http://www.businessinsider.com/today-bitcoins-doomsday-scenario-arrived-2014-6";"Business Insider";06/14/14;"Today, Bitcoin's Doomsday Scenario Arrived";"sirer,eyal";
"http://techcrunch.com/2014/06/15/51-fears-rattle-the-bitcoin-community/";"TechCrunch";06/15/14;"‘51%’ Fears Rattle The Bitcoin Community ";"sirer,eyal";"feature"
"http://arstechnica.com/security/2014/06/bitcoin-security-guarantee-shattered-by-anonymous-miner-with-51-network-power/";"Ars Technica";06/15/14;"Bitcoin security guarantee shattered by anonymous miner with 51% network power";"sirer,eyal";
"https://www.pcworld.com/article/2364000/bitcoin-price-dips-as-backers-fear-mining-monopoly.html";"PC World";06/16/14;"Bitcoin Price Dips as Backers Fear Mining Monopoly";"sirer,eyal";
"http://www.wired.co.uk/news/archive/2014-06/16/bitcoin-security-guarantee-compromised";"WIRED UK";06/16/14;"Bitcoin Security Guarantee Compromised";"sirer,eyal";
